"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
-0.73,0.205954492114666,-0.150948217788373,0.277157894736842,-0.145544333333333
0.21,0.235623116410259,0.231283631997361,0.275894736842105,0.152546666666667
0.1,0.413434189316644,0.317243977207647,0.267789473684211,0.209037333333333
-0.58,0.23782042874528,-0.541628319795743,0.259473684210526,0.0866586666666667
-0.46,0.117790023048604,0.125942707295521,0.249263157894737,0.0959680000000001
-0.52,0.207582039057281,0.867926873773979,0.244,0.334403666666667
-0.78,0.145054150371062,0.308338259837003,0.236526315789474,0.133126333333333
0.37,0.0349904713864573,0.218947368421053,0.218947368421053,-0.0935836666666667
1.11,0.326707645004358,0.211368421052632,0.211368421052632,0.0452686666666667
0.07,0.381272882303915,0.214,0.214,0.356563666666667
0.59,0.0425069008275092,0.203052631578947,0.203052631578947,0.252025333333333
-0.07,0.308615150612184,0.214842105263158,0.214842105263158,-0.216211333333333
0.38,0.0942374877549526,0.0403334942896209,0.208315789473684,-0.335107
0.29,0.287369385754197,0.336788229484249,0.210736842105263,0.459065333333334
0.47,0.199137572333901,0.236871390658866,0.206947368421053,0.281857333333333
0.92,0.246803705330822,0.26046865371507,0.203052631578947,0.27682
1.21,0.320816757723534,0.208690190827066,0.207473684210526,0.154697666666667
0.53,0.374945757828762,0.263654079089463,0.224315789473684,0.255054333333333
1.02,0.182012980337746,0.214989432390055,0.229052631578947,0.167311333333333
0.31,0.404817937851439,0.233157894736842,0.233157894736842,0.266515333333333
1.8,0.183552851249521,0.224526315789474,0.224526315789474,0.440237666666667
0.95,0.565448114163799,0.566473587449671,0.234526315789474,0.648555666666668
2.06,0.325259245432658,0.504762661484262,0.236105263157895,0.725948666666668
1.07,0.771958435079484,0.41971860456421,0.259368421052632,0.391596666666667
