"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
0.25,0.310457398769696,0.37215550608604,0.463368421052632,0.422429666666667
0.07,0.346989467452879,0.387538548783051,0.463789473684211,0.408174
-0.31,0.232636531296012,0.313624102836397,0.457789473684211,0.324969
-0.38,-0.00744342356995579,0.0922814578504971,0.450736842105263,0.277157666666667
0.26,-0.0622919772520846,0.170441123823093,0.445894736842105,0.210046666666667
0.36,0.358245903813577,0.222557457642847,0.444105263157895,0.217366
0.24,0.398153161419517,0.366020267585973,0.443578947368421,0.359515666666667
0.64,0.315994197913382,0.336166100446328,0.440105263157895,0.377359333333333
0.86,0.570459152244519,0.464382900466139,0.440631578947368,0.563576333333333
0.89,0.697614353279622,0.604789477805597,0.443368421052632,0.712914333333334
1.35,0.706864941436913,0.617358244690315,0.444421052631579,0.760134333333333
0.25,1.0165612804192,0.790912075996279,0.449578947368421,0.819314
0.86,0.307341936177961,0.541810635434293,0.445894736842105,0.468399666666667
0.93,0.663730615416715,0.734756947707424,0.45,0.719061999999999
0.31,0.732536891178572,0.676111732084086,0.454,0.550768000000001
0.83,0.385872151365988,0.377346421608725,0.453368421052632,0.41706
0.53,0.648044155285473,0.734153605844627,0.459368421052632,0.464194666666666
0.96,0.522591860517323,0.354619577523379,0.464631578947368,0.519597666666667
0.87,0.726826144861323,0.637336618054033,0.472210526315789,0.669316000000001
1.16,0.716416316935255,0.632696763663949,0.477684210526316,0.852925333333333
1.25,0.871483985240041,0.769905912281881,0.483894736842105,0.767527999999999
0.95,0.962149364763286,0.859251920330102,0.491368421052632,0.652993666666667
0.73,0.803283910447404,0.791579036060129,0.491684210526316,0.725337
0.54,0.659019174029516,0.627380616559352,0.493578947368421,0.732898333333333
