"erro_ar2","erro_lasso","erro_media_historica","erro_rf"
-0.184614972253528,-0.251157894736842,-0.251157894736842,-0.371753333333334
-0.727743650844094,-0.788631578947368,-0.788631578947368,-0.633637999999999
-0.461041986646505,-0.672736842105263,-0.672736842105263,-0.468339
-0.379316956790152,-0.564947368421052,-0.564947368421053,-0.597740000000001
-0.400619437015507,-0.320234612941022,-0.569578947368421,-0.337214666666666
-0.429953654542588,-0.484147828902935,-0.619473684210526,-0.445321
-0.290381390344342,-0.09642834728388,-0.513894736842105,-0.287538333333333
-0.22136981164484,-0.128050066366687,-0.406105263157895,-0.0434833333333333
-0.155531246099926,-0.168206783028196,-0.306,-0.284306000000001
-0.367829431373739,-0.494952456458139,-0.482421052631579,-0.492587999999999
0.3759964501369,0.307193239267419,0.174315789473684,0.304424333333333
-0.133784229188357,-0.119019320408371,-0.0762105263157895,-0.309448333333334
-0.271339889952974,-0.110781540006701,-0.294315789473684,-0.170165333333334
-0.307644888941756,-0.296111894485462,-0.420421052631579,-0.390018333333333
-0.276389052432886,-0.362523569487319,-0.444421052631579,-0.287927
-0.0553344601458548,-0.116717837270484,-0.240210526315789,-0.150578666666667
-0.0513305162272997,-0.140479276227379,-0.158210526315789,-0.142756666666666
0.0803881922525295,0.113402405681037,0.0106315789473684,0.0636353333333327
0.199226811793592,0.254726554928685,0.2,0.154063
0.0340833865167202,0.154830628656975,0.115368421052632,0.0589556666666664
0.250466114672037,0.266620987564294,0.304,0.171567333333333
-0.00275723292998775,0.0401327225980598,0.125263157894737,-0.0354400000000006
0.0554800838723417,0.0463124693760175,0.119789473684211,-0.0941466666666662
0.304656358512045,0.1662376275362,0.352,0.233146
