"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
-0.23,0.19473201853614,0.41401460191833,0.348842105263158,0.442261
-0.9,0.1273178665496,0.216123895967072,0.344736842105263,0.438422333333333
-2.66,-0.0746178602684552,-0.0196814555377233,0.334210526315789,0.0998596666666667
-1.9,-0.87183195657051,-0.194259049200306,0.312315789473684,-0.193795666666667
0.31,-0.384536671587671,-0.0461517136781268,0.304736842105263,-0.734227
0.78,0.655771132468128,0.173296268503052,0.308315789473684,-0.144607
0.82,0.542202381101202,0.461021402486411,0.315894736842105,0.411753
0.7,0.487754258454152,0.506680386340124,0.325368421052632,0.690001
1.19,0.425631275657348,0.433722350572906,0.330210526315789,0.666605333333333
1.33,0.693024910549547,0.65942294996126,0.335578947368421,0.897837
1.36,0.693297547301823,0.596103108544376,0.341684210526316,0.863935666666667
0.41,0.701365997708661,0.505006889662313,0.348105263157895,0.85194
2.28,0.209372292479357,0.56342456217889,0.343894736842105,0.340052333333334
3.81,1.30023962503665,0.800629917594163,0.368842105263158,0.695206000000001
-0.08,2.06933595617888,1.43713808053615,0.410947368421053,0.656593666666667
1.15,-0.412687225241325,0.346070131128388,0.412736842105263,-0.192039
0.41,0.785593847536254,0.537041760892124,0.423368421052632,0.436111666666667
1.52,0.36267667958217,0.261892124709125,0.434631578947368,0.120502666666667
1.46,0.910701352609062,0.710026618076729,0.451263157894737,0.710491333333334
1.82,0.811513074468472,0.662799015688506,0.462,0.912308
2.62,1.00641440427691,0.699681573904642,0.479368421052632,0.620271999999999
3.35,1.41317138937799,1.0712864937542,0.503157894736842,0.772905000000001
0.58,1.87006875938016,1.33571573439833,0.518947368421053,1.14494366666667
-0.11,0.352891189352075,0.457375313277296,0.525368421052632,0.568753
