"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
-0.39,0.24664411597633,0.552210526315789,0.552210526315789,-0.0471386666666666
0.13,0.455646872341272,0.543052631578947,0.543052631578947,1.42577866666667
-0.1,0.277700193406488,0.536,0.536,0.363007999999999
-0.25,0.366919187298332,0.526526315789474,0.526526315789474,0.0792406666666666
0.04,0.287698784172347,0.520947368421052,0.520947368421053,0.686447000000001
0.8,0.276543815266802,0.515684210526316,0.515684210526316,0.665606666666667
0.36,0.437249948486524,0.52178947368421,0.521789473684211,0.582558333333334
0.37,0.568743092464386,0.518105263157895,0.518105263157895,0.551284
0.36,0.464389648945613,0.518,0.518,0.49782
0.44,0.463584692364984,0.515052631578948,0.515052631578947,0.547535666666668
2.88,0.467906922194621,0.513052631578947,0.513052631578947,0.494139666666667
-1.07,0.77385344798471,0.545473684210526,0.545473684210526,0.696306333333333
0.4,1.12000031715249,0.559263157894737,0.559263157894737,1.18960366666667
0.81,0.180591895492912,0.558105263157895,0.558105263157895,0.548449666666667
0.22,0.531803069816819,0.560105263157895,0.560105263157895,0.653004666666666
1.78,0.60243166623809,0.554526315789474,0.554526315789474,0.639480666666667
1.1,0.525830293636983,0.567263157894737,0.567263157894737,0.202921333333333
3.1,0.899971816576893,0.572842105263158,0.572842105263158,0.688969
0.68,0.898382025851583,0.599473684210526,0.599473684210526,0.560739666666666
2.56,1.31547516033289,0.600105263157895,0.600105263157895,0.918174
1.04,0.745984544306397,0.621157894736842,0.621157894736842,0.872934000000001
1.03,1.27557728866738,0.624842105263158,0.624842105263158,1.055502
0.74,0.784738422652936,0.630210526315789,0.630210526315789,0.982437000000001
0.16,0.765620611464519,0.632210526315789,0.632210526315789,0.725201333333334
