"erro_ar2","erro_lasso","erro_media_historica","erro_rf"
0.166691577502042,0.221308375655414,0.136736842105263,-0.0458766666666664
-0.00813469356668314,0.299226720459953,-0.0392631578947368,0.598269666666667
-0.280871681384446,-0.529800256040726,-0.274842105263158,-0.387919333333333
0.107797034841021,0.225183102438219,0.165263157894737,0.101708666666667
0.701491603065403,2.10208909231206,0.672631578947368,0.850543333333333
0.568723967616548,0.587780105073194,0.426315789473684,0.470185666666667
0.670194889916195,0.68712795467069,0.580842105263158,0.499511666666667
0.137794346189429,-0.0299177781725696,0.0541052631578947,-0.247358666666666
0.112851192580247,0.115789473684211,0.115789473684211,-0.101327333333333
0.212804860016272,0.196842105263158,0.196842105263158,0.0702900000000002
0.32004242061551,0.171349019686318,0.294105263157895,0.160805666666667
-0.0449540051347406,-0.0842544497299812,-0.0808421052631579,-0.236264666666667
-0.250397280500749,-0.404181125347968,-0.23,-0.320949666666666
-0.198093521847821,0.127824919621856,-0.167263157894737,0.107889333333334
-0.0368883188909177,-0.084978719843649,-0.0198947368421053,-0.133003666666666
0.111953160834492,0.0726416432307895,0.110105263157895,0.111031333333333
-0.204038266123706,-0.329394470555526,-0.220105263157895,-0.326585
-0.0113754863239309,0.0261531955510212,0.0232631578947368,-0.0112533333333334
0.142061300557055,0.11294940815673,0.13221052631579,0.081969
-0.0124254864319041,-0.0477030782214843,-0.0306315789473684,-0.0683013333333333
0.431330513867608,0.512510744167117,0.439473684210526,0.403093333333333
0.0517976955386467,-0.0151231814078063,-0.012,-0.0502980000000001
0.228151941239799,0.231315486293507,0.244842105263158,0.114558666666667
0.989833415901221,0.924609526845512,0.951578947368421,0.936311666666667
