"erro_ar2","erro_lasso","erro_media_historica","erro_rf"
-0.0604573987696964,-0.12215550608604,-0.213368421052632,-0.172429666666667
-0.276989467452879,-0.317538548783051,-0.393789473684211,-0.338174
-0.542636531296012,-0.623624102836397,-0.767789473684211,-0.634969
-0.372556576430044,-0.472281457850497,-0.830736842105263,-0.657157666666667
0.322291977252085,0.0895588761769074,-0.185894736842105,0.0499533333333332
0.00175409618642297,0.137442542357153,-0.0841052631578947,0.142634
-0.158153161419517,-0.126020267585973,-0.203578947368421,-0.119515666666667
0.324005802086618,0.303833899553672,0.199894736842105,0.262640666666667
0.289540847755481,0.395617099533861,0.419368421052632,0.296423666666667
0.192385646720378,0.285210522194403,0.446631578947368,0.177085666666666
0.643135058563087,0.732641755309685,0.905578947368421,0.589865666666667
-0.766561280419197,-0.540912075996279,-0.199578947368421,-0.569314
0.552658063822039,0.318189364565707,0.414105263157895,0.391600333333333
0.266269384583285,0.195243052292576,0.48,0.210938000000001
-0.422536891178572,-0.366111732084086,-0.144,-0.240768000000001
0.444127848634012,0.452653578391275,0.376631578947368,0.41294
-0.118044155285473,-0.204153605844627,0.0706315789473684,0.065805333333334
0.437408139482677,0.605380422476621,0.495368421052632,0.440402333333333
0.143173855138677,0.232663381945967,0.397789473684211,0.200683999999999
0.443583683064745,0.527303236336051,0.682315789473684,0.307074666666667
0.378516014759959,0.480094087718119,0.766105263157895,0.482472000000001
-0.0121493647632859,0.0907480796698975,0.458631578947368,0.297006333333333
-0.0732839104474041,-0.0615790360601292,0.238315789473684,0.00466300000000042
-0.119019174029516,-0.0873806165593518,0.046421052631579,-0.192898333333333
