"realizado","previsao_ar2","previsao_lasso","previsao_media_historica","previsao_rf"
0.31,0.494614972253528,0.561157894736842,0.561157894736842,0.681753333333334
-0.23,0.497743650844094,0.558631578947368,0.558631578947368,0.403637999999999
-0.14,0.321041986646505,0.532736842105263,0.532736842105263,0.328339
-0.04,0.339316956790152,0.524947368421052,0.524947368421053,0.557740000000001
-0.05,0.350619437015507,0.270234612941022,0.519578947368421,0.287214666666666
-0.11,0.319953654542589,0.374147828902935,0.509473684210526,0.335321
-0.01,0.280381390344342,0.08642834728388,0.503894736842105,0.277538333333333
0.09,0.31136981164484,0.218050066366687,0.496105263157895,0.133483333333333
0.19,0.345531246099926,0.358206783028196,0.496,0.474306000000001
0.01,0.377829431373739,0.504952456458139,0.492421052631579,0.502587999999999
0.65,0.2740035498631,0.342806760732581,0.475684210526316,0.345575666666667
0.39,0.523784229188357,0.509019320408371,0.466210526315789,0.699448333333334
0.17,0.441339889952974,0.280781540006701,0.464315789473684,0.340165333333334
0.04,0.347644888941756,0.336111894485462,0.460421052631579,0.430018333333333
0.01,0.286389052432886,0.372523569487319,0.454421052631579,0.297927
0.21,0.265334460145855,0.326717837270484,0.450210526315789,0.360578666666667
0.29,0.3413305162273,0.430479276227379,0.448210526315789,0.432756666666666
0.45,0.369611807747471,0.336597594318963,0.439368421052632,0.386364666666667
0.64,0.440773188206408,0.385273445071315,0.44,0.485937
0.56,0.52591661348328,0.405169371343025,0.444631578947368,0.501044333333334
0.75,0.499533885327963,0.483379012435706,0.446,0.578432666666667
0.57,0.572757232929988,0.52986727740194,0.444736842105263,0.605440000000001
0.56,0.504519916127658,0.513687530623983,0.440210526315789,0.654146666666666
0.78,0.475343641487955,0.6137623724638,0.428,0.546854
